"Row_id","RestaurantName","ReviewCount","ServiceCategories","Address","AverageReviewStars"
62,"B. Good"," 109 reviews "," American (Traditional), Burgers, Sandwiches "," 84 Summer Street ","3.0 star rating"
63,"Bar Boulud - Boston"," 281 reviews "," Bars, Burgers, French "," 776 Boylston St ","3.0 star rating"
64,"Allston Diner"," 262 reviews "," Burgers, Diners, Breakfast & Brunch "," 431 Cambridge St ","4.0 star rating"
65,"Emmet’s Irish Pub & Restaurant"," 251 reviews "," Pubs, Irish, Burgers "," 6 Beacon St ","3.5 star rating"
66,"Delux Café"," 287 reviews "," Bars, American (Traditional) "," 100 Chandler St ","4.0 star rating"
67,"The Salty Pig"," 1438 reviews "," American (New), Italian, Pizza "," 130 Dartmouth St ","4.0 star rating"
68,"Rythm ‘N Wraps"," 5 reviews "," Wraps "," 1096 Commonwealth Ave ","4.5 star rating"
69,"The Butcher Shop"," 474 reviews "," Steakhouses, Butcher, Modern European "," 552 Tremont St ","4.0 star rating"
70,"Royal Rooters Club"," 19 reviews "," American (Traditional), Sports Bars "," 4 Yawkey Way ","3.0 star rating"
71,"Tony C’s Sports Bar & Grill"," 74 reviews "," Sports Bars, American (New) "," 1265 Boylston St ","3.5 star rating"
72,"Buttermilk & Bourbon"," 290 reviews "," Southern, Bars, Tapas Bars "," 160 Commonwealth Ave ","3.5 star rating"
73,"City Bar"," 257 reviews "," American (New), Cocktail Bars "," 61 Exeter St ","4.0 star rating"
74,"Boston Beer Works"," 444 reviews "," American (Traditional), Brewpubs, Burgers "," 112 Canal St ","3.0 star rating"
75,"Trophy Room"," 164 reviews "," American (New), Cocktail Bars, Breakfast & Brunch "," 26 Chandler St ","3.5 star rating"
76,"Abe & Louie’s"," 1165 reviews "," Steakhouses, Seafood, Cocktail Bars "," 793 Boylston St ","4.0 star rating"
77,"Off the Common"," 29 reviews "," American (New) "," 50 Park Plz ","3.5 star rating"
78,"Eventide - Fenway"," 166 reviews "," Seafood "," 1321 Boylston St ","4.0 star rating"
79,"Dillon’s"," 399 reviews "," Bars, American (Traditional) "," 955 Boylston St ","3.0 star rating"
80,"Met Back Bay"," 787 reviews "," American (New) "," 279 Dartmouth St ","3.0 star rating"
81,"Boston Wing-It"," 218 reviews "," Chicken Wings, Steakhouses, Burgers "," 1153 Commonwealth Ave ","3.0 star rating"
82,"Gaslight"," 1806 reviews "," French, American (New), Cocktail Bars "," 560 Harrison Ave ","4.0 star rating"
83,"The Capital Grille"," 817 reviews "," Steakhouses, Seafood, Wine Bars "," 900 Boylston St ","4.5 star rating"
84,"Stoddard’s Fine Food & Ale"," 533 reviews "," American (Traditional), Gastropubs, Pubs "," 48 Temple Pl ","3.5 star rating"
85,"Parish Cafe"," 254 reviews "," American (New), Sandwiches, Bars "," 493 Massachusetts Ave ","4.0 star rating"
86,"Bristol Restaurant and Bar"," 248 reviews "," American (New), Desserts, Breakfast & Brunch "," 200 Boylston St ","3.5 star rating"
87,"Boston Chops Downtown"," 25 reviews "," Steakhouses, American (New) "," 52 Temple Pl ","3.5 star rating"
88,"House of Blues Boston Restaurant & Bar"," 31 reviews "," American (New), Burgers, Barbeque "," 15 Lansdowne St ","2.5 star rating"
89,"Franklin Café"," 487 reviews "," Lounges, American (New) "," 278 Shawmut Ave ","4.0 star rating"
90,"The Four’s Restaurant & Sports Bar"," 301 reviews "," Sports Bars, American (Traditional) "," 166 Canal St ","3.5 star rating"
